                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4891,                 5.7666,                 4.3746,                      0,                      0,                      0,                      0,                 3.4567,                 5.3134,                 4.1598,             3.9047e-05,             3.9047e-05,             3.9047e-05
                      2,                 3.6252,                  5.731,                 4.2864,                      0,                      0,                      0,                      0,                 3.4569,                 5.3175,                 4.1629,             7.7934e-05,             7.7934e-05,             7.7934e-05
                      3,                 3.5734,                  5.787,                 4.2826,                      0,                      0,                      0,                      0,                 3.4403,                 5.3031,                 4.1699,             0.00011604,             0.00011604,             0.00011604
