                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5912,                  5.761,                 4.3003,                      0,                      0,                      0,                      0,                  3.463,                 5.3543,                 4.1596,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 3.4882,                 5.6959,                 4.2741,                      0,                      0,                      0,                      0,                 3.4634,                 5.3546,                 4.1607,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 3.5268,                 5.7298,                 4.2787,                      0,                      0,                      0,                      0,                 3.4643,                 5.3537,                 4.1615,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 3.5475,                 5.6818,                  4.277,                      0,                      0,                      0,                      0,                 3.4636,                 5.3532,                 4.1621,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 3.6351,                  5.699,                 4.2624,                      0,                      0,                      0,                      0,                 3.4632,                 5.3535,                 4.1627,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 3.6634,                 5.7127,                 4.2454,                      0,                      0,                      0,                      0,                 3.4629,                 5.3552,                 4.1627,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 3.6336,                 5.6864,                 4.2205,                      0,                      0,                      0,                      0,                 3.4632,                 5.3554,                 4.1628,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 3.6299,                 5.6642,                 4.2376,                      0,                      0,                      0,                      0,                 3.4622,                 5.3591,                 4.1625,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                  3.624,                 5.7214,                 4.2212,                      0,                      0,                      0,                      0,                 3.4618,                 5.3631,                 4.1619,             7.7798e-05,             7.7798e-05,             7.7798e-05
