                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 3.5399,                 5.3967,                 4.0904,                0.00017,                0.01445,                0.00015,                  2e-05,                 3.3484,                 5.8887,                 4.1757,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                 3.5563,                 5.5217,                 4.0851,                 0.0003,                0.01543,                0.00027,                  6e-05,                  3.356,                 5.2645,                 4.1439,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 3.4958,                 5.3733,                 4.0676,                 0.0001,                0.01009,                  8e-05,                  2e-05,                 3.3438,                 5.4101,                 4.1524,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                 3.5577,                 5.3976,                 4.0611,                  9e-05,                 0.0107,                  7e-05,                  2e-05,                 3.3348,                 5.5724,                 4.1518,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                 3.5828,                 5.3921,                 4.0668,                0.00106,                0.01614,                0.00107,                0.00032,                  3.347,                 5.5674,                 4.1442,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                 3.5343,                 5.4229,                 4.0556,                0.00073,                0.01595,                0.00058,                0.00013,                 3.3141,                 5.8425,                 4.1709,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                 3.5529,                 5.4096,                  4.051,                0.00078,                0.01746,                0.00062,                0.00013,                 3.3116,                 5.8506,                 4.1838,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                 3.5386,                 5.4508,                 4.0474,                0.00053,                 0.0243,                0.00049,                 0.0001,                 3.3475,                 5.2851,                 4.1016,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                 3.5293,                 5.4076,                  4.035,                0.00084,                0.02226,                0.00068,                0.00011,                 3.3385,                 5.5363,                 4.1318,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                 3.4841,                 5.4303,                 4.0403,                0.00053,                0.02246,                0.00055,                0.00011,                 3.3347,                 5.6262,                 4.1327,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                 3.4879,                 5.3972,                 4.0435,                0.00054,                0.02598,                0.00059,                0.00014,                 3.3275,                 5.8142,                 4.1282,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                 3.5089,                 5.3656,                 4.0186,                0.00168,                0.02534,                0.00109,                0.00016,                 3.3291,                  5.984,                 4.1148,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                  3.489,                 5.3418,                 4.0345,                0.00075,                0.02759,                0.00062,                0.00012,                 3.3327,                 6.2491,                 4.1308,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                 3.5797,                 5.4275,                 4.0159,                0.00064,                0.02201,                0.00046,                  6e-05,                 3.3475,                 5.6362,                 4.0843,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                 3.5389,                 5.3968,                 4.0133,                0.00035,                0.02637,                0.00045,                0.00011,                 3.3307,                 5.4827,                 4.0731,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                 3.4645,                 5.2829,                 3.9928,                0.00028,                0.02279,                 0.0003,                  8e-05,                 3.3288,                 5.9797,                 4.1006,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                 3.5045,                 5.3066,                 4.0137,                 0.1835,                 0.0048,                0.00042,                  9e-05,                  3.327,                 5.1908,                 4.0462,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                 3.4293,                 5.3753,                  4.008,                0.00023,                0.01957,                0.00021,                  6e-05,                 3.3243,                 5.3672,                 4.0375,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                 3.4661,                 5.2735,                 3.9733,                0.00032,                0.02373,                0.00041,                  7e-05,                 3.3221,                 5.2235,                 4.0339,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                 3.3859,                 5.3629,                 3.9934,                 0.0002,                0.01918,                0.00016,                  3e-05,                 3.3135,                 5.4728,                 4.0452,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                 3.4908,                 5.4499,                 3.9704,                 0.0003,                0.02267,                0.00026,                  6e-05,                 3.3115,                 5.5032,                 4.0194,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                 3.6094,                 5.4441,                  3.982,                0.00025,                0.02117,                0.00024,                  5e-05,                 3.3088,                 5.6925,                 4.0182,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                 3.5111,                 5.2802,                 3.9737,                0.00023,                0.01743,                0.00024,                  5e-05,                  3.307,                 5.2945,                 4.0089,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                 3.4488,                 5.3856,                 3.9697,                0.00019,                 0.0185,                0.00018,                  4e-05,                 3.3121,                 5.1135,                 3.9909,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                 3.4591,                 5.3824,                 3.9759,                0.00016,                 0.0179,                0.00014,                  3e-05,                 3.3012,                 5.3154,                 4.0108,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                 3.4718,                  5.286,                 3.9583,                0.00016,                0.01509,                0.00012,                  3e-05,                 3.2838,                 4.9936,                  4.014,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                 3.4498,                 5.3457,                 3.9719,                0.00028,                0.02534,                0.00025,                  5e-05,                 3.3028,                 4.8544,                 3.9791,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                 3.4579,                 5.3942,                 3.9504,                0.00014,                0.01235,                0.00013,                  3e-05,                 3.2795,                 5.0771,                      4,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                 3.5037,                 5.2698,                 3.9492,                0.00023,                0.02377,                0.00021,                  4e-05,                 3.2915,                 5.2452,                 3.9815,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                 3.5559,                 5.3599,                 3.9552,                0.00024,                0.01899,                0.00021,                  4e-05,                 3.2947,                 5.1706,                 3.9813,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                 3.4598,                 5.2452,                 3.9567,                 0.0003,                0.02374,                0.00023,                  4e-05,                   3.29,                 5.3954,                 3.9736,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                  3.439,                 5.2515,                  3.949,                0.00033,                0.02634,                0.00024,                  4e-05,                 3.3017,                 5.3205,                 3.9532,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                 3.4973,                 5.3641,                 3.9321,                0.00024,                0.02296,                 0.0002,                  4e-05,                 3.3092,                 5.8902,                 3.9707,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                 3.5198,                 5.2029,                 3.9326,                0.00257,                   0.03,                0.00432,                0.00208,                 3.3138,                 7.6217,                 3.9606,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                 3.4658,                 5.3087,                 3.9345,                0.00115,                0.03326,                0.00137,                0.00071,                 3.2983,                 6.2238,                 3.9568,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                 3.4324,                  5.303,                 3.9343,                0.00051,                0.03109,                0.00074,                0.00033,                 3.2967,                 6.5156,                  3.948,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                 3.4187,                 5.2627,                 3.9284,                0.00051,                0.03288,                0.00059,                0.00026,                 3.3007,                 5.2727,                 3.9417,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                 3.4098,                 5.2178,                 3.9215,                0.00034,                 0.0209,                0.00026,                  5e-05,                 3.2845,                 5.8853,                 3.9493,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                 3.5893,                 5.2652,                 3.9283,                 0.0003,                0.02283,                0.00024,                  5e-05,                 3.2887,                 6.7728,                  3.965,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                 3.4885,                 5.3097,                 3.9205,                0.00055,                0.02799,                0.00049,                 0.0002,                 3.2732,                  5.552,                 3.9474,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                 3.3996,                 5.3827,                 3.9324,                0.00045,                0.03498,                0.00047,                0.00018,                 3.2878,                 6.3752,                 3.9354,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                 3.5115,                  5.326,                  3.916,                0.00053,                0.03757,                0.00043,                0.00016,                 3.2808,                  5.496,                 3.9341,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                 3.4885,                 5.3184,                 3.9296,                0.00038,                0.03294,                0.00048,                0.00023,                 3.3012,                 5.9624,                 3.9459,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                 3.4606,                 5.2814,                  3.921,                0.00025,                0.02849,                0.00023,                  7e-05,                 3.2862,                 5.4597,                 3.9359,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                  3.392,                 5.2429,                 3.9112,                0.00028,                0.02985,                0.00024,                  6e-05,                  3.288,                 4.9621,                 3.9222,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                 3.4709,                 5.3387,                 3.9233,                0.00086,                0.04925,                 0.0008,                0.00029,                 3.2896,                 5.6022,                 3.9341,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                 3.5858,                  5.258,                 3.8986,                0.00027,                0.03123,                0.00023,                  7e-05,                 3.2826,                 5.5414,                  3.923,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                 3.4198,                 5.3179,                  3.911,                0.00027,                0.02743,                0.00023,                  6e-05,                 3.2785,                 6.3041,                 3.9396,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                 3.4127,                 5.3308,                 3.9123,                0.00037,                0.03484,                0.00038,                0.00016,                 3.2721,                  6.142,                 3.9165,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                 3.3882,                 5.2681,                 3.8887,                0.00026,                0.02606,                0.00026,                  7e-05,                 3.2822,                 5.3119,                 3.9191,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                 3.4417,                 5.2829,                 3.8994,                0.00075,                0.03332,                0.00081,                0.00043,                  3.269,                 6.7718,                 3.9228,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                 3.4121,                 5.2823,                 3.9007,                0.00146,                0.03457,                0.00101,                0.00045,                 3.2703,                  7.241,                 3.9306,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                 3.4083,                 5.3931,                 3.8981,                0.00066,                0.04766,                0.00102,                0.00052,                  3.279,                 5.2614,                 3.9017,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                 3.4432,                 5.2659,                 3.9051,                0.00059,                0.04053,                0.00077,                0.00041,                 3.2605,                 5.4247,                 3.8965,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                 3.4464,                 5.1983,                 3.8967,                 0.0007,                0.04002,                0.00085,                0.00041,                 3.2701,                 5.0571,                 3.9005,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                 3.4331,                 5.2992,                 3.8872,                0.00083,                0.04101,                0.00072,                 0.0003,                 3.2524,                 6.0112,                 3.9066,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                 3.3948,                 5.1732,                 3.9008,                0.00068,                0.04011,                0.00088,                0.00042,                 3.2595,                 5.3647,                 3.8992,             1.6505e-05,             1.6505e-05,             1.6505e-05
