                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5123,                 5.7646,                 4.3289,                      0,                      0,                      0,                      0,                 3.4535,                 5.3027,                 4.1611,             3.9047e-05,             3.9047e-05,             3.9047e-05
                      2,                  3.646,                 5.7238,                 4.2637,                      0,                      0,                      0,                      0,                 3.4518,                 5.2993,                  4.163,             7.7934e-05,             7.7934e-05,             7.7934e-05
                      3,                 3.5822,                 5.7683,                 4.2659,                0.71455,                0.00156,                0.00253,                0.00098,                 3.4429,                 5.2921,                 4.1777,             0.00011604,             0.00011604,             0.00011604
                      4,                 3.6585,                 5.7507,                 4.2529,                0.70758,                0.00156,                0.00225,                0.00119,                  3.426,                 6.2674,                 4.2933,             0.00011547,             0.00011547,             0.00011547
                      5,                 3.7236,                 5.7731,                 4.2461,                0.97183,                0.00156,                0.00251,                0.00063,                 3.3932,                  7.608,                 4.4695,             0.00011547,             0.00011547,             0.00011547
                      6,                 3.5295,                 5.6711,                 4.2371,                0.00081,                0.03713,                0.00084,                0.00035,                 3.3987,                 13.022,                 4.5352,             0.00011429,             0.00011429,             0.00011429
