                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5905,                 5.7675,                  4.297,                      0,                      0,                      0,                      0,                 3.4636,                 5.3552,                 4.1593,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 3.4866,                 5.6786,                 4.2812,                      0,                      0,                      0,                      0,                 3.4626,                 5.3546,                 4.1601,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 3.5231,                 5.7256,                 4.2735,                      0,                      0,                      0,                      0,                 3.4622,                 5.3545,                 4.1605,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 3.5467,                 5.6766,                 4.2801,                      0,                      0,                      0,                      0,                 3.4622,                 5.3547,                 4.1609,             3.5794e-05,             3.5794e-05,             3.5794e-05
