                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4891,                 5.7666,                 4.3746,                      0,                      0,                      0,                      0,                 3.4567,                 5.3134,                 4.1598,             3.9047e-05,             3.9047e-05,             3.9047e-05
                      2,                 3.6252,                  5.731,                 4.2864,                      0,                      0,                      0,                      0,                 3.4569,                 5.3175,                 4.1629,             7.7934e-05,             7.7934e-05,             7.7934e-05
                      3,                 3.5734,                  5.787,                 4.2826,                      0,                      0,                      0,                      0,                 3.4403,                 5.3031,                 4.1699,             0.00011604,             0.00011604,             0.00011604
                      4,                 3.6407,                 5.7453,                 4.2796,                  0.779,                0.00282,                0.00173,                0.00018,                 3.4192,                 5.2387,                 4.2735,             0.00011547,             0.00011547,             0.00011547
                      5,                 3.6958,                 5.7619,                 4.2557,                 0.0002,                0.00542,                0.00014,                  4e-05,                 3.3898,                 5.3555,                 4.3853,             0.00011547,             0.00011547,             0.00011547
                      6,                  3.512,                 5.6609,                 4.2509,                0.00021,                 0.0084,                0.00016,                  6e-05,                 3.4031,                 6.1121,                 4.4123,             0.00011429,             0.00011429,             0.00011429
                      7,                 3.5643,                 5.6615,                 4.2515,                0.00011,                0.00329,                  7e-05,                  3e-05,                 3.4114,                 6.1529,                 4.3392,             0.00011311,             0.00011311,             0.00011311
                      8,                 3.5341,                 5.7537,                 4.2333,                0.00032,                0.01102,                0.00023,                  7e-05,                  3.398,                 6.9557,                 4.3485,             0.00011193,             0.00011193,             0.00011193
