                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 3.4704,                 5.3093,                 4.0959,                0.00015,                 0.0164,                0.00011,                  4e-05,                 3.3637,                 5.4928,                 4.1927,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                 3.6722,                 5.3959,                 4.0906,                0.30998,                0.00039,                  8e-05,                  3e-05,                 3.3543,                 5.0522,                 4.1466,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                   3.57,                 5.4371,                 4.0746,                0.00017,                0.01414,                0.00022,                  4e-05,                 3.3563,                 5.0364,                 4.1305,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                 3.6412,                 5.4229,                 4.0616,                0.00017,                0.01707,                0.00016,                  4e-05,                 3.3517,                 5.1579,                 4.1447,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                 3.5493,                 5.3301,                 4.0728,                0.00225,                0.02017,                0.00162,                0.00021,                  3.342,                 4.9282,                 4.1187,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                 3.5481,                 5.3698,                 4.0865,                0.00011,                 0.0123,                  8e-05,                  3e-05,                 3.3539,                 4.9415,                 4.1161,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                 3.6433,                 5.3939,                 4.0504,                0.00064,                0.01883,                0.00064,                  8e-05,                 3.3488,                 4.8969,                 4.1015,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                 3.4268,                 5.3561,                  4.053,                0.00015,                0.01869,                0.00024,                  4e-05,                 3.3497,                 5.3277,                 4.1478,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                 3.6221,                 5.3555,                 4.0401,                0.00123,                0.01621,                0.00073,                0.00018,                 3.3439,                 4.8724,                 4.0817,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                 3.4829,                 5.2137,                 4.0516,                0.00016,                0.01908,                0.00025,                  6e-05,                 3.3464,                 5.0924,                 4.0977,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                 3.5259,                 5.3505,                 4.0447,                0.00037,                0.02313,                 0.0004,                  9e-05,                  3.342,                  4.989,                 4.0946,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     33,                  3.491,                 5.2688,                 4.0309,                0.00019,                0.01953,                0.00036,                  6e-05,                 3.3434,                  4.994,                 4.0683,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                 3.5216,                 5.3703,                 4.0301,                0.00084,                0.02123,                0.00059,                0.00019,                 3.3279,                  4.829,                 4.0592,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 3.4379,                 5.2481,                 4.0081,                0.00272,                 0.0295,                0.00209,                0.00043,                 3.3238,                 4.8833,                 4.0481,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                 3.5141,                 5.2665,                 4.0103,                0.00134,                 0.0303,                0.00128,                0.00025,                 3.3292,                 4.8742,                 4.0501,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                  3.503,                 5.2818,                 4.0108,                0.00081,                0.02552,                0.00087,                0.00019,                 3.3286,                 4.8582,                 4.0465,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                  3.488,                 5.2982,                 3.9965,                0.00015,                0.02058,                0.00017,                  5e-05,                 3.3334,                 4.9815,                 4.0545,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                 3.4924,                 5.2476,                 3.9931,                0.28189,                0.00246,                0.00032,                  7e-05,                 3.3226,                 5.0056,                 4.0591,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                 3.4599,                 5.2702,                 3.9903,                0.00079,                0.03547,                0.00113,                0.00021,                 3.3158,                 4.8339,                   4.02,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                 3.5052,                 5.2745,                 3.9739,                0.00095,                0.04466,                0.00108,                0.00023,                 3.3174,                 4.9356,                 4.0354,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                 3.4508,                 5.2862,                 3.9966,                0.00045,                0.03613,                0.00056,                0.00017,                 3.3061,                  4.926,                 4.0358,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                 3.4388,                 5.2624,                 4.0016,                 0.0008,                0.04404,                0.00093,                0.00023,                 3.3028,                 4.9027,                 4.0268,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                 3.4642,                 5.2197,                 3.9755,                0.00106,                0.04572,                0.00144,                 0.0004,                 3.2938,                 4.9108,                 4.0208,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                 3.4002,                  5.147,                 3.9825,                0.25528,                0.00201,                0.00154,                0.00043,                 3.2837,                 5.0105,                 4.0287,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                 3.5169,                 5.2354,                 3.9733,                0.00057,                0.04196,                0.00265,                0.00046,                 3.2658,                 4.8263,                 4.0152,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                 3.4784,                 5.2657,                 3.9662,                0.00051,                0.04022,                0.00344,                0.00048,                  3.271,                 4.7467,                 3.9983,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                 3.3845,                 5.1128,                 3.9331,                0.00066,                0.04113,                0.00095,                 0.0002,                 3.2741,                 4.8269,                 4.0086,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                 3.4375,                 5.1709,                 3.9629,                0.00066,                0.03684,                0.00102,                0.00023,                 3.2665,                 4.7509,                  3.987,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                 3.3756,                 5.2233,                 3.9634,                0.00065,                0.03474,                0.00231,                0.00033,                  3.259,                 4.7075,                 3.9771,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                 3.4116,                 5.1197,                 3.9413,                0.00139,                0.04463,                 0.0031,                0.00046,                 3.2591,                 4.6975,                 3.9744,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                 3.3286,                 5.2281,                 3.9374,                0.00062,                0.04691,                0.00106,                 0.0002,                 3.2846,                 4.7501,                 3.9836,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                 3.4201,                 5.3083,                 3.9273,                0.00067,                0.04136,                0.00207,                0.00034,                 3.2756,                 4.6727,                 3.9639,             5.8917e-05,             5.8917e-05,             5.8917e-05
