                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.477,                 5.7452,                 4.3391,                      0,                      0,                      0,                      0,                 3.4574,                  5.307,                 4.1568,             3.9047e-05,             3.9047e-05,             3.9047e-05
                      2,                 3.6115,                 5.7072,                 4.2522,                      0,                      0,                      0,                      0,                 3.4551,                 5.3005,                 4.1488,             7.7934e-05,             7.7934e-05,             7.7934e-05
                      3,                 3.5575,                 5.7479,                 4.2561,                0.01408,                0.00156,                0.00782,                0.00235,                 3.4168,                 5.2592,                 4.1608,             0.00011604,             0.00011604,             0.00011604
                      4,                 3.6399,                 5.6806,                 4.2461,                0.00123,                0.00807,                0.00108,                 0.0002,                 3.3895,                 5.2524,                 4.2397,             0.00011547,             0.00011547,             0.00011547
                      5,                 3.7174,                 5.7368,                 4.2223,                0.00239,                0.00828,                0.00166,                0.00039,                 3.3669,                 5.6883,                 4.2917,             0.00011547,             0.00011547,             0.00011547
                      6,                 3.4786,                 5.5993,                 4.2193,                 0.0029,                0.00728,                0.00164,                0.00034,                   3.38,                 6.6888,                 4.3397,             0.00011429,             0.00011429,             0.00011429
                      7,                 3.5471,                 5.5979,                 4.2092,                 0.0004,                0.00848,                0.00029,                0.00011,                 3.3708,                 5.4653,                 4.2655,             0.00011311,             0.00011311,             0.00011311
                      8,                 3.5084,                 5.6556,                 4.1975,                0.00011,                 0.0063,                  7e-05,                  3e-05,                  3.359,                 5.3357,                 4.2774,             0.00011193,             0.00011193,             0.00011193
                      9,                 3.5438,                 5.5686,                 4.1897,                0.00125,                 0.0143,                0.00103,                0.00036,                 3.3615,                 5.1562,                 4.2572,             0.00011075,             0.00011075,             0.00011075
                     10,                 3.5309,                 5.5279,                 4.1857,                0.00056,                0.01376,                0.00057,                0.00027,                 3.3445,                 5.1137,                 4.2592,             0.00010958,             0.00010958,             0.00010958
                     11,                 3.6288,                 5.5168,                 4.1819,                0.00092,                0.02881,                0.00081,                0.00058,                  3.353,                 5.8282,                 4.3013,              0.0001084,              0.0001084,              0.0001084
                     12,                 3.4888,                 5.4804,                 4.1701,                0.00011,                0.01016,                  9e-05,                  2e-05,                 3.3598,                  5.682,                 4.2705,             0.00010722,             0.00010722,             0.00010722
                     13,                 3.5019,                 5.5236,                 4.1556,                0.00062,                0.00982,                0.00038,                  8e-05,                 3.3699,                 5.1457,                 4.2222,             0.00010604,             0.00010604,             0.00010604
                     14,                 3.4998,                 5.4521,                 4.1464,                0.46503,                 0.0005,                 0.0001,                  2e-05,                 3.3727,                 5.1641,                 4.2043,             0.00010486,             0.00010486,             0.00010486
                     15,                 3.4695,                 5.4103,                 4.1391,                0.00013,                0.01381,                0.00011,                  3e-05,                 3.3673,                 4.9814,                 4.1892,             0.00010368,             0.00010368,             0.00010368
                     16,                 3.6384,                 5.4343,                 4.1327,                0.00056,                0.02112,                0.00076,                0.00015,                 3.3797,                 5.1454,                 4.2075,             0.00010251,             0.00010251,             0.00010251
                     17,                 3.5514,                 5.4295,                  4.132,                0.00012,                0.01933,                 0.0001,                  3e-05,                 3.3608,                 5.2185,                 4.2222,             0.00010133,             0.00010133,             0.00010133
                     18,                 3.5901,                 5.4477,                 4.1162,                0.00011,                 0.0195,                 0.0001,                  3e-05,                 3.3684,                 5.4659,                  4.224,             0.00010015,             0.00010015,             0.00010015
                     19,                 3.5128,                 5.3703,                  4.115,                0.00011,                0.02014,                  9e-05,                  3e-05,                 3.3632,                 5.2419,                 4.1914,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                 3.5507,                 5.4682,                 4.1246,                0.00013,                0.01911,                0.00021,                  5e-05,                 3.3621,                 5.4062,                 4.2119,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 3.5298,                 5.4456,                 4.1142,                 0.3241,                0.00257,                  7e-05,                  2e-05,                 3.3738,                 5.2315,                 4.1935,             9.6616e-05,             9.6616e-05,             9.6616e-05
